selector,classifier,replication_mode,fold,n_train,n_test,n_test_fails,n_selected_features,BER,True+,True-,threshold_oof_global,alpha,gamma,C,n_neighbors
Pearson,krr,with_missing_indicators,6,1410,157,11,40,0.28019925280199254,0.7272727272727273,0.7123287671232876,-0.09266566945701946,10.0,,,
Pearson,krr,with_missing_indicators,7,1410,157,11,40,0.3359277708592777,0.6363636363636364,0.6917808219178082,-0.09266566945701946,10.0,,,
Pearson,krr,with_missing_indicators,8,1411,156,10,40,0.40753424657534243,0.5,0.684931506849315,-0.09266566945701946,10.0,,,
Pearson,krr,with_missing_indicators,9,1411,156,10,40,0.3212328767123288,0.7,0.6575342465753424,-0.09266566945701946,10.0,,,
Pearson,krr,with_missing_indicators,10,1411,156,10,40,0.34041095890410955,0.6,0.7191780821917808,-0.09266566945701946,10.0,,,
ReliefF,krr,strict,1,1410,157,10,40,0.18265306122448977,0.9,0.7346938775510204,-0.22763472946167979,1.0,0.01,,10.0
ReliefF,krr,strict,2,1410,157,10,40,0.363265306122449,0.6,0.673469387755102,-0.22763472946167979,1.0,0.01,,10.0
ReliefF,krr,strict,3,1410,157,10,40,0.22006802721088436,0.9,0.6598639455782312,-0.22763472946167979,1.0,0.01,,10.0
ReliefF,krr,strict,4,1410,157,11,40,0.19707347447073476,0.8181818181818182,0.7876712328767124,-0.22763472946167979,1.0,0.01,,10.0
ReliefF,krr,strict,5,1410,157,11,40,0.3393524283935243,0.6363636363636364,0.684931506849315,-0.22763472946167979,1.0,0.01,,10.0
ReliefF,krr,strict,6,1410,157,11,40,0.2562266500622665,0.7272727272727273,0.7602739726027398,-0.22763472946167979,1.0,0.01,,10.0
ReliefF,krr,strict,7,1410,157,11,40,0.3916562889165629,0.5454545454545454,0.6712328767123288,-0.22763472946167979,1.0,0.01,,10.0
ReliefF,krr,strict,8,1411,156,10,40,0.27671232876712337,0.7,0.7465753424657534,-0.22763472946167979,1.0,0.01,,10.0
ReliefF,krr,strict,9,1411,156,10,40,0.2904109589041096,0.7,0.7191780821917808,-0.22763472946167979,1.0,0.01,,10.0
ReliefF,krr,strict,10,1411,156,10,40,0.27328767123287667,0.7,0.7534246575342466,-0.22763472946167979,1.0,0.01,,10.0
ReliefF,krr,with_missing_indicators,1,1410,157,10,40,0.19285714285714284,0.9,0.7142857142857143,-0.06518485693134643,10.0,0.01,,10.0
ReliefF,krr,with_missing_indicators,2,1410,157,10,40,0.3064625850340137,0.7,0.6870748299319728,-0.06518485693134643,10.0,0.01,,10.0
ReliefF,krr,with_missing_indicators,3,1410,157,10,40,0.2666666666666666,0.8,0.6666666666666666,-0.06518485693134643,10.0,0.01,,10.0
ReliefF,krr,with_missing_indicators,4,1410,157,11,40,0.29825653798256546,0.6363636363636364,0.7671232876712328,-0.06518485693134643,10.0,0.01,,10.0
